Course ID,Course Title,Credit,Credit type,Day/Period,Remarks,Year Standing,index,semester
5261101,Accounting (I),3,Required,"Wed.7,8,9 Fri.7","55 preserved for 1st gradersNot available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
5261104,Accounting (I),3,Required,"Tue.10,11 Thur.10,11","60 preserved for 1st graders; This course is for: Department of Economics freshmanA class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
5261104,Accounting (I),3,Required,"Mon.7,8,9 Fri.7","60 preserved for 1st graders; This course is for: Department of Economics freshmanB class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
5261104,Accounting (I),3,Required,"Tue.7,8 Thur.7,8","50 preserved for 1st graders; This course is for: Department of Business Administration freshmanA class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
5261104,Accounting (I),3,Required,"Tue.7,8,9 Thur.7","40 preserved for 1st graders; This course is for: Department of Finance and Banking freshmanNot available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
5261104,Accounting (I),3,Required,"Tue.10,11,12 Thur.10","50 preserved for 1st graders; This course is for: Department of Information Management freshmanNot available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,1
2101003,Calculus (I),3,Required,Mon.C Wed.C Thur.6,,1,7.0,1
2101003,Calculus (I),3,Required,Mon.C Wed.C Thur.6,,1,8.0,1
5101001,Principle of Economics (I),3,Required,"Tue.4,5 Thur.4,5",,1,6.0,1
5301105,Introduction to Computer (Programming Related),3,Required,"Tue.7,8,9",,1,,1
5261102,Accounting (Ⅱ),3,Required,"Wed.7,8,9 Fri.7","Prerequisite Courses: (5261101)Accounting (I)(taken) (5261104)Accounting (I)(taken) (One of which satisfied)Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,2
5261105,Accounting (II),3,Required,"Tue.10,11 Thur.10,11","Prerequisite Courses: (5261101)Accounting (I)(taken) (5261104)Accounting (I)(taken) (One of which satisfied) This course is for: Department of Economics freshmanA class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,2
5261105,Accounting (II),3,Required,"Mon.7,8,9 Fri.7","Prerequisite Courses: (5261104)Accounting (I)(taken) (5261101)Accounting (I)(taken) (One of which satisfied) This course is for: Department of Economics freshmanB class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,2
5261105,Accounting (II),3,Elective,"Tue.7,8 Thur.7,8","Prerequisite Courses: (5261101)Accounting (I)(taken) (5261104)Accounting (I)(taken) (One of which satisfied) This course is for: Department of Business Administration freshmanA class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,2
5261105,Accounting (II),3,Required,"Tue.7,8,9 Thur.7","Prerequisite Courses: (5261104)Accounting (I)(taken) (5261101)Accounting (I)(taken) (One of which satisfied) This course is for: Department of Finance and Banking freshmanA class B class Not available for students from other departments. ,Included in Artificial Intelligence and Computer Auditing",1,,2
5261610,Civil Law,3,Required,"Mon.12,13,14",Not available for students from other departments.,1,,2
5261611,Business Software Applications and Design,3,Elective,"Wed.4,5,6",Not available for students from other departments.,1,,2
